date,close,close_pred,code,score,date_processed
16.02.2026,2877.68,2877.68,ADIN,0.8932943713916823,2026-03-16
17.02.2026,2894.43,2894.43,ADIN,0.8932943713916823,2026-03-16
18.02.2026,2999.33,2999.33,ADIN,0.8932943713916823,2026-03-16
19.02.2026,3056.77,3056.77,ADIN,0.8932943713916823,2026-03-16
20.02.2026,3158.05,3158.05,ADIN,0.8932943713916823,2026-03-16
23.02.2026,3243.62,3243.62,ADIN,0.8932943713916823,2026-03-16
24.02.2026,3350.45,3350.45,ADIN,0.8932943713916823,2026-03-16
03.03.2026,27427.13,27427.13,ALK,0.5522872212201826,2026-03-16
04.03.2026,27547.86,27547.86,ALK,0.5522872212201826,2026-03-16
05.03.2026,27803.46,27803.46,ALK,0.5522872212201826,2026-03-16
06.03.2026,28153.57,28153.57,ALK,0.5522872212201826,2026-03-16
09.03.2026,28599.32,28599.32,ALK,0.5522872212201826,2026-03-16
10.03.2026,29112.68,29112.68,ALK,0.5522872212201826,2026-03-16
11.03.2026,29468.92,29468.92,ALK,0.5522872212201826,2026-03-16
19.09.2025,3160.67,3160.67,AUMK,0.40202004449932405,2026-03-16
22.09.2025,3167.18,3167.18,AUMK,0.40202004449932405,2026-03-16
23.09.2025,3183.03,3183.03,AUMK,0.40202004449932405,2026-03-16
24.09.2025,3194.37,3194.37,AUMK,0.40202004449932405,2026-03-16
25.09.2025,3207.16,3207.16,AUMK,0.40202004449932405,2026-03-16
26.09.2025,3217.46,3217.46,AUMK,0.40202004449932405,2026-03-16
29.09.2025,3227.96,3227.96,AUMK,0.40202004449932405,2026-03-16
31.12.2025,314.33,314.33,CEVI,0.24147044389612193,2026-03-16
01.01.2026,320.76,320.76,CEVI,0.24147044389612193,2026-03-16
02.01.2026,319.68,319.68,CEVI,0.24147044389612193,2026-03-16
05.01.2026,318.04,318.04,CEVI,0.24147044389612193,2026-03-16
06.01.2026,316.44,316.44,CEVI,0.24147044389612193,2026-03-16
07.01.2026,316.4,316.4,CEVI,0.24147044389612193,2026-03-16
08.01.2026,316.21,316.21,CEVI,0.24147044389612193,2026-03-16
18.02.2026,53198.2,53198.2,FERS,0.9170175663530326,2026-03-16
19.02.2026,52952.78,52952.78,FERS,0.9170175663530326,2026-03-16
20.02.2026,53293.98,53293.98,FERS,0.9170175663530326,2026-03-16
23.02.2026,53350.22,53350.22,FERS,0.9170175663530326,2026-03-16
24.02.2026,53549.88,53549.88,FERS,0.9170175663530326,2026-03-16
25.02.2026,53639.82,53639.82,FERS,0.9170175663530326,2026-03-16
26.02.2026,53764.54,53764.54,FERS,0.9170175663530326,2026-03-16
10.12.2025,2303.68,2303.68,FUBT,-0.0851837209289803,2026-03-16
11.12.2025,2253.9,2253.9,FUBT,-0.0851837209289803,2026-03-16
12.12.2025,2157.36,2157.36,FUBT,-0.0851837209289803,2026-03-16
15.12.2025,2088.93,2088.93,FUBT,-0.0851837209289803,2026-03-16
16.12.2025,2022.12,2022.12,FUBT,-0.0851837209289803,2026-03-16
17.12.2025,1971.76,1971.76,FUBT,-0.0851837209289803,2026-03-16
18.12.2025,1925.49,1925.49,FUBT,-0.0851837209289803,2026-03-16
